Title,Categories,Author,Narrated By,Series,Length (Hours),Length (Minutes),ReleaseDate,Price,Ratings,Overall Rating Out of 5,Performance Rating out of 5,Story Rating out of 5,Overall 5 stars amount,Overall 4 star amount,Overall 3 star amount,Overall 2 star amount,Overall 1 star amount,Performance 5 star amount,Performance 4 star amount,Performance 3 star amount,Performance 2 star amount,Performance 1 star amount,Story 5 star amount,story 4 star amount,Story 3 star amount,Story 2 star amount,Story 1 star amount,1 Review header,1 Review body,1 Review helpful count,2 Review Header,2 Review body,2 Review helpful count,3 Review Header,3 Review Body,3 Review helpful count,,,,,,,
Learn Arabic Ultimate Bundle,Travel & Tourism,Global Citizen Language Learning,Mehdi Ben Mahmoud,,13,28,12/4/2023,24.95,34,5,5,5,34,0,0,0,0,34,0,0,0,0,34,0,0,0,0,Gateway to Arabic Mastery,"This meticulously structured audiobook collection builds Arabic fluency through integrated grammar, vocabulary, and practical dialogues. Avoiding disjointed lessons, native speaker pronunciations, and insights help contextualize core concepts, while reinforcement drills drive retention. You emerge conversant in everyday scenarios, equipped with an expanding toolkit to navigate this lyrical language. It strikes an optimal balance between challenging learners and ensuring an encouraging experience.",,Unveiling the Arabic Language,"Learn Arabic Ultimate Bundle is a treasure trove for anyone eager to embark on a journey into the rich world of the Arabic language. ???? This audiobook bundle provides a comprehensive and engaging approach to Arabic learning, suitable for both beginners and those looking to deepen their knowledge.",,Unlock Arabic Fluency,"This meticulously crafted audiobook collection is not just lessons; it's a gateway to mastering one of the world's most beautiful languages. With over 13 hours of content, structured lessons, integrated grammar and vocabulary, practical application, and insights from native speakers, it's a comprehensive journey. Highly recommend it!",,,,,,,,
The Impossible First,Travel & Tourism,Colin O'Brady,Colin O'Brady,,8,38,1/14/2020,18.74,1156,4.7,4.7,4.8,965,111,51,13,16,800,136,48,15,18,879,85,30,8,18,Feel good story of overcoming adversity.,Great story of overcoming adversity in one of the harshest climates on earth. Loved this book!,,A must listen audiobook.,"""Best memoir I have listened to so far in 2020. I hope more people listen to this an be inspired.",,Inspiring,I can get bored with books. This one held my attention the entire time. I enjoyed the story and found it inspiring in many ways.,,,,,,,,
Buying Disney's World,Travel & Tourism,Aaron Goldberg,Susan L. Crawford,,4,39,4/20/2021,14.95,151,4.5,4.4,4.5,106,22,16,6,1,90,16,7,4,7,88,18,13,3,2,A must read for Disney Fans.,"Really interesting insight into how Walt Disney World came to be. The back story has some familiar names, and a couple twists. Well written and concise history of the WDW origin.",,Great Disney History,"""I feel know a lot about Disney history having worked for the company for many years and been a Disney Traditioneer. I learned a ton about the construction and history of Walt Disney World from this book! Highly recommend!",,For Disney fans,The story is very thorough and interesting. The only thing that kinda bothered me was the narrator sounds like she’s reading to children.,1 person found this helpful,,,,,,,
Learn Spanish in Your Car,Travel & Tourism,Glenda Greco,Shea Jean,,10,10,5/26/2022,24.95,72,3.2,4.3,4.3,38,1,0,0,33,36,3,0,0,7,37,2,0,0,7,So far so good.,"I learned Spanish a long time ago and forgot about it due to a lack of practice. However, this audiobook helped me to refresh my Spanish in general. Easy to listen in the car. Amazing!",,Great Way To Learn Spanish,"""The audible Learn Spanish in Your Car I found to be a splendid way to pick up the Spanish language without much stress. Finding the time to learn any new thing can sometimes be daunting. The fact that I could listen on the go was a great idea. I hae been playing and enjoying every bit of this audible. Great job!",,I am not enjoyed this listen.,I would not highly recommended to listen this audio book for everyone. This audio book are not gave me a lot of information. I am not enjoyed this listen.,8 people found this helpful,,,,,,,
For the Love of Europe,Travel & Tourism,Rick Steves,Rick Steves,,10,38,8/11/2020,21.83,443,4.5,4.7,4.5,291,102,38,11,1,263,69,13,6,1,230,88,25,5,2,Incredibly Enjoyable,"Having visited some of the places Rick highlights here, I had to smile and revisit them with his words. You can hear the delight and down to earthedness while he tells a bit about his love of Europe. Seems Rick likes to get tipsy and naked in a lot of countries!!! I can respect that!!!",12 people found this helpful,For the love of Rick Steve’s,"""What a great book that was, I have always cherished his television series but this book just topped it off. Hope you do several more books if you can. Everyone can benefit from your experiences and knowledge of traveling.",,My most enjoyable travels experience in 2 years,"This was almost as good as being able to travel again. It makes you feel like you are there and with numerous insights into my previous trips. Thank you, Rick Steves I needed that.",,,,,,,,
Spotting Danger Before It Spots You,Travel & Tourism,Gary Dean Quesenberry,Gary Dean Quesenberry,,4,13,6/28/2022,19.72,42,4.7,4.6,4.6,33,5,3,1,0,25,10,1,1,0,27,7,2,1,0,great book beyond awareness,"the author takes it beyond situational awareness to the mindset of predators, with a focus on avoiding, escape and lastly confrontation.",,Terrific!,"""I’m thankful for what I’ve learned. I plan to review it regularly. Definitely worth your time!",,Great info,"Liked the info and the way the author laid it out in everyman terms and not Special Forces Operator terms. I would have liked to have had an accompanying pdf with some of the lists for future reference, but overall happy with the purchase. I may buy the physical book as well",1 person found this helpful,,,,,,,
Istanbul,Travel & Tourism,Orhan Pamuk,John Lee,,9,46,4/9/2013,21.6,209,4,4.3,4,96,45,41,16,11,101,42,20,8,3,86,33,36,11,12,Flaneur in Istanbul,"It is an excellent flaneur-novel vibrating from mixed emotions towards the city of Istanbul. A Bildungsroman, in which the young Orhan and the old city are reflecting each other's face. The impersonated city and the objectified self live in an organic symbiosis as their histories become intertwined. I enjoyed the audiobook a lot, although the vast and detailed historical set of references the book provides sometimes makes the reading hard to follow.",,unengaging,"""I love Istanbul but this book does not capture it particularly well. The narration is rather boring.",1 person found this helpful,Streets of Istanbul,"Interesting insight to the son of a rich man and how impacted his life as a boy, artist and writer. The history of Istanbul emerging from an Ottoman Empire into a Turkish city that become an international stopping place from all over the world. Sitting on the peninsula that joins Asia with Europe. The Muslim religion is evident in all the historic Mosques and buildings that are a staple of the vistas seen in the city. All these factors influenced this writer and budding artist.",2 people found this helpful,,,,,,,
A House in the Sky,Travel & Tourism,Amanda Lindhout,Amanda Lindhout,,13,17,9/10/2013,22.49,2077,4.6,4.5,4.7,1471,442,119,29,16,1228,414,165,41,17,1419,327,83,19,14,Amazing true story!,"Would you listen to A House in the Sky again? Why? I loved listening to Amanda's narration of her book. This is an addictive book, I couldn't stop listening.",8 people found this helpful,Amazing Journey,,1 person found this helpful,Loved!!,"Well written and captivating. I Highly recommend. Amanda Lindhout’s story is courageous, thought provoking and heartbreaking.",,,,,,,,
Brave the Wild River,Travel & Tourism,Melissa L. Sevigny,Elizabeth Wiley,,10,53,5/23/2023,21.9,39,4.6,4.5,4.6,27,8,3,1,0,22,9,1,1,1,26,4,3,1,0,Fascinating and brave journey is well told in this book.,Such an important and inspiring book for botany and women’s rights and conservation of the Grand Canyon and the southwest.,,Taking women seriously in science,"""I liked that the author used the scientific names for the plants. I loved the descriptions of life on the river. I have run the Grand Canyon and could picture where they were and the rapids they were running. This book accurately details the obstacles and harassment that women face yet how we have made progress with more changes needed. As a woman in science and one who love botany this book was a joy to read!",1 person found this helpful,Fascinating Adventure,A bit tedious at times and repetitive in description - overall it's a good adventure story worth listening to.,,,,,,,,
Eiger Dreams,Travel & Tourism,Jon Krakauer,Philip Franklin,,8,42,11/7/2017,15.75,656,4.6,4.6,4.6,454,159,33,7,3,402,120,31,4,3,382,136,31,6,4,Amusing authentic mountaineering tales,"Jon has been a participant in some of three most historic climbing ventures and his network is as extensive as anyone else's. His humor is witty, self effacing and to the point. A easy to absorb and enjoyable narrative.",,Adventures in mountaineering,"""I love the way Jon Krakauer writes! He is an excellent story teller that gathers all of your attention. I know no",1 person found this helpful,Amazing and inspiring stories. So-so narration.,"This book is a brilliant selection of short stories from a unique and facinating voice in the field. There is a nice harmony and theme to the disparate stories, all brilliantly told. The narration is okay, but the caricatures they chose to represent some of the French and British characters was a little bizarre and I can't hear them say Yvon Chouinard that way even once more.",1 person found this helpful,,,,,,,
