,asin,title,author,soldBy,imgUrl,productURL,stars,reviews,price,isKindleUnlimited,category_id,isBestSeller,isEditorsPick,isGoodReadsChoice,publishedDate,category_name,Ranking,ranking_Parenting & Relationships,ranking_Engineering & Transportation,ranking_Science & Math,"ranking_Mystery, Thriller & Suspense","ranking_Crafts, Hobbies & Home",ranking_Literature & Fiction,ranking_Biographies & Memoirs,ranking_Computers & Technology,ranking_Politics & Social Sciences,ranking_Teen & Young Adult,ranking_Foreign Language,ranking_Science Fiction & Fantasy,ranking_Travel,ranking_LGBTQ+ eBooks,ranking_Religion & Spirituality,ranking_Arts & Photo graphy,ranking_Comics,ranking_Education & Teaching,ranking_History,"ranking_Cookbooks, Food & Wine",ranking_Nonfiction,ranking_Self-Help,ranking_Romance,ranking_Humor & Entertainment,ranking_Reference,"ranking_Health, Fitness & Dieting",ranking_Sports & Outdoors,ranking_Medical,ranking_Business & Money,ranking_Law,ranking_Children's eBooks
5144,B00LD1RWP6,The Wright Brothers,David McCullough,Simon and Schuster Digital Sales Inc,https://m.media-amazon.com/images/I/81eryU45jKL._AC_UY218_.jpg,https://www.amazon.com/dp/B00LD1RWP6,4.5,0,4.99,False,11,False,True,False,2015-05-05,Engineering & Transportation,5145,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5162,B0B9NYCRXL,The Wager,David Grann,nan,https://m.media-amazon.com/images/I/81iR3k0Wg6L._AC_UY218_.jpg,https://www.amazon.com/dp/B0B9NYCRXL,4.5,0,0.0,False,11,False,True,False,2023-05-11,Engineering & Transportation,5163,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5163,B0BCYQY92C,The ARRL Ham Radio License Manual,ARRL Inc.,Amazon.com Services LLC,https://m.media-amazon.com/images/I/81vTQoaFriL._AC_UY218_.jpg,https://www.amazon.com/dp/B0BCYQY92C,4.8,0,19.99,False,11,False,False,False,2022-09-02,Engineering & Transportation,5164,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5164,B0C7BZ7S18,GIS Tutorial for ArcGIS Pro 3.1,Wilpen L. Gorr,Amazon.com Services LLC,https://m.media-amazon.com/images/I/7165sUcTOBL._AC_UY218_.jpg,https://www.amazon.com/dp/B0C7BZ7S18,0.0,0,86.99,False,11,False,False,False,2023-06-20,Engineering & Transportation,5165,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5165,B0BHTMRQ2H,His Majesty's Airship: The Life and Tragic Death of the World's Largest Flying Machine,S. C. Gwynne,Simon and Schuster Digital Sales Inc,https://m.media-amazon.com/images/I/81WsOk0gcHL._AC_UY218_.jpg,https://www.amazon.com/dp/B0BHTMRQ2H,4.3,0,14.99,False,11,False,True,False,2023-05-02,Engineering & Transportation,5166,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5166,B00JGAS65Q,"The Innovators: How a Group of Hackers, Geniuses, and Geeks Created the Digital Revolution",Walter Isaacson,Simon and Schuster Digital Sales Inc,https://m.media-amazon.com/images/I/71FfxRLzkPL._AC_UY218_.jpg,https://www.amazon.com/dp/B00JGAS65Q,4.5,0,15.99,False,11,False,True,False,2014-10-07,Engineering & Transportation,5167,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5167,B07GNV7PNH,Midnight in Chernobyl: The Untold Story of the World's Greatest Nuclear Disaster,Adam Higginbotham,Simon and Schuster Digital Sales Inc,https://m.media-amazon.com/images/I/815IlzeO6NL._AC_UY218_.jpg,https://www.amazon.com/dp/B07GNV7PNH,4.7,0,15.99,False,11,False,True,False,2019-02-12,Engineering & Transportation,5168,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5168,B0B6DGDJWT,Motorcycle Safety Foundation Basic RiderCourse Rider Handbook (MSF Learning),Motorcycle Safety Foundation (MSF),Amazon.com Services LLC,https://m.media-amazon.com/images/I/914lg6r3eTL._AC_UY218_.jpg,https://www.amazon.com/dp/B0B6DGDJWT,4.1,0,2.99,False,11,True,False,False,nan,Engineering & Transportation,5169,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5169,B0CFG7N94P,TROPIC ANGEL: A Luke Angel Coastal Thriller (Archangel Aviation Thrillers Book 1),NATE VAN COOPS,Amazon.com Services LLC,https://m.media-amazon.com/images/I/81XhpXus7zL._AC_UY218_.jpg,https://www.amazon.com/dp/B0CFG7N94P,4.6,0,3.99,True,11,False,False,False,nan,Engineering & Transportation,5170,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5170,B0BZKD8C86,"The Magic Conveyor Belt: Supply Chains, A.I., and the Future of Work",Yossi Sheffi,Amazon.com Services LLC,https://m.media-amazon.com/images/I/81xeVgRWAfL._AC_UY218_.jpg,https://www.amazon.com/dp/B0BZKD8C86,4.4,0,14.99,False,11,False,False,False,2023-03-24,Engineering & Transportation,5171,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
