,datos_estadisticos,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Ejemplares editados (miles),367.460,329.830,302.631,286.462,280.251,246.345,226.590,225.277,224.054,240.220,214.316,229.515,181.292,198.132,206.229
1,Ejemplares vendidos (miles),240.660,236.197,228.230,199.814,170.237,153.830,153.620,155.440,157.233,158.250,160.852,162.220,164.450,174.100,178.450
2,En digital,,,,,,,,,,,,,"126,19","134,79","139,30"
3,En papel,,,,,,,,,,,,,"2.304,94","2.432,41","2.579,22"
4,ISBNs comprados,,,,,,,,,,,,,115.815,127.821,128.787
5,ISBNs concedidos,86.949,91.768,95.559,96.862,90.978,76.803,79.224,79.397,86.000,89.962,81.228,90.073,,,
6,Libros registrados por las editoriales,,,,,,,,,,,,,76.588,87.122,86.923
7,Número de agentes editoriales privados,2.892,3.032,2.994,2.988,2.835,2.750,2.786,2.649,2.722,2.720,2.785,2.864,,,
8,Número de agentes editoriales públicos,580,532,529,476,352,336,323,314,304,312,327,305,,,
9,Porcentaje de la producción editorial de instituciones públicas (títulos inscritos en ISBN),"9,8%","8,6%","8,0%","7,0%","7,5%",9%,9%,"10,1%","9,6%","8,6%","9,2%","9,6%",,,
10,Porcentaje de títulos que son traducciones de otros idiomas distintos al español,"24,8%","22,9%","22,1%","21,1%","22,0%","22,3%","21,2%","16,2%","16,1%","21,1%","17,0%","14,7%",,,
11,Precio medio del libro (euros),"13,26","13,17","12,67","13,87","14,52","14,18","14,29","14,52","14,74","14,66","13,96","14,15","14,02","13,97","14,40"
12,Producción editorial (ediciones y reimpresiones)*,104.223,110.205,114.205,111.907,104.724,89.130,90.802,79.397,86.000,89.962,81.228,90.073,,,
13,Tirada media de ejemplares por título (nº de ejemplares),,,,,,,,,,,,,3.576,3.590,3.610
14,Tirada media de ejemplares por título (número de ejemplares),5.035,4.328,3.790,3.441,3.540,3.223,2.886,2.810,2.749,2.753,3.762,3.779,,,
15,Títulos editados en edición de bolsillo,6.608,6.425,6.001,5.376,4.806,4.099,3.615,4.211,4.471,4.602,4.663,4.766,4.264,4.602,4.826
16,Títulos vivos en catálogo,393.012,414.727,439.991,464.981,490.752,524.213,553.884,586.811,620.316,656.080,677.241,711.687,737.479,794.823,841.533
17,Valor de las exportaciones del sector del libro (miles de euros),545.982,442.367,457.792,506.537,527.343,526.482,541.765,552.366,571.767,588.856,615.405,529.967,391.756,388.909,403.023
18,Valor de las ventas de libros en el mercado interior (millones de euros),"3.185,50","3.109,58","2.890,80","2.772,34","2.471,49","2.181,97","2.195,80","2.257,07","2.317,20","2.319,36","2.363,09","2.420,64","2.439,93","2.576,70","2.718,52"
